Product Code,Description,Category,Make,Manufacturer,image
2SI/AT1/077,"Luer Adapter, female, panel mount, 1/4-28 x1/8"" Barb",ATI,Parts,Badger Meter UK Ltd,2SIAT1077.png
2SI/AT1/078,"1/8"" x 1/16"" Tee",ATI,Parts,Badger Meter UK Ltd,2SIAT1078.png
2SI/AT1/079,"Luer Fitting, Male, Check Valve",ATI,Parts,Badger Meter UK Ltd,2SIAT1079.png
2SI/AT1/080,"Luer Fitting, Male, 5/32"" ID",ATI,Parts,Badger Meter UK Ltd,2SIAT1080.png
2SI/AT1/081,"Luer Fitting, Female, tee",ATI,Parts,Badger Meter UK Ltd,2SIAT1081.png
2SI/AT1/082,Air Pump Tubing (Per ft),ATI,Parts,Badger Meter UK Ltd,2SIAT1082.png
2SI/AT1/083,"Silicone Tubing, 1/16"" ID x 1/8"" OD",ATI,Parts,Badger Meter UK Ltd,2SIAT1083.png
2SI/AT1/084,"Silicone Tubing 1/6"" ID x 1/8"" OD Blue",ATI,Parts,Badger Meter UK Ltd,2SIAT1084.png
2SI/AT1/085,"Silicone Tubing 1/6"" ID x 1/8"" OD Red",ATI,Parts,Badger Meter UK Ltd,2SIAT1085.png
2SI/AT1/089,"Q46D Monitor, 12-24 VDC",Instrument,Q46D,Badger Meter UK Ltd,2SIAT1089.png
2SI/AT1/092,ruck::sack- submersible AutoBrush for spectro::lyser,S:CAN,Parts,Badger Meter UK Ltd,2SIAT1092.png
2SI/AT1/094,Connect a V3 spectrometer (M12) to V2 Terminal (MIL Plug),S:CAN,Parts,Badger Meter UK Ltd,2SIAT1094.png
2SI/AW1/003,PS90S pH Electrode 6m cable and BNC plug,pH,AWE,Automated Water & Effluent Ltd,2SIAW1003.png
2SI/AW1/004,P36-10B disposable pH probe,pH,AWE,Automated Water & Effluent Ltd,2SIAW1004.png
2SI/AW1/007,3 metre pH extension cable,pH,AWE,Automated Water & Effluent Ltd,2SIAW1007.png
2SI/AW1/012,Small Wheel Peri Pump 1 Tubing in Silcone 8 x 12,pH,AWE,Automated Water & Effluent Ltd,2SIAW1012.png
2SI/BUR/004,2/2-way-solenoid valve f.aggress. medium,Other,Valves,,2SIBUR004.png
2SI/CC1/005,Aztec 1000 Pump Sample Line Tube,Aztec 1000,Parts,ABB Ltd,2SICC1005.png
2SI/CC1/006,Aztec 1000 Pump Buffer Line Tube,Aztec 1000,Parts,ABB Ltd,2SICC1006.png
2SI/CC1/008,Temperature Probe,ABB,Parts,ABB,2SICC1008.png
2SI/CC1/015,Aztec 1000 Window Hinge,Aztec 1000,Parts,ABB Ltd,2SICC1015.png
2SI/CC1/212,Aztec 1000 Sample Tubing,Aztec 1000,Parts,Cole-Parmer Instrument Co Limited,2SICC1212.png
2SI/CC1/303,Aztec 1000 ISE Flow Cell Assembly,Aztec 1000,Parts,ABB Ltd,2SICC1303.png
2SI/CC1/310,Aztec 1000 Aluminium Reagent Set,Reagents,Reagent Kits,ABB,2SICC1310.png
2SI/CC1/341,Aztec 1000 Colorimetric PSU,Aztec 1000,Parts,ABB Ltd,2SICC1341.png
2SI/CE1/000,Unistrut Base TB213,,,,2SICE1000.png
2SI/CE2/001,Ce-Tek GRP Enclosure IP67 w/ Screw Down Grey Lid,Workshop Parts,Enclosure,CE-TEK,2SICE2001.png
2SI/CE2/002,Base Plate for the AP031 Boxes,Workshop Parts,Enclosure,CE-TEK,2SICE2002.png
2SI/CEF/001,Ronbar 25mm Liquid Tight Flexible Conduit (50m Reel),Aztec 1000,Parts,City Electrical Factors Limited,2SICEF001.png
